"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.A81001",2,75,75,75,75,75,-0.0651084171424719,-0.0943136106249259,0.639361755923533,0.755447984369946,0.348114160979616,0.40733382339033,0.539195062820972
"2","ratio_quantity.A81002",3,15,15,15,15,83,-0.1592651534319,-0.226552438531081,0.626500729843352,0.704256777879524,0.195829107023587,0.508427670855937,0.721935076559409
"3","ratio_quantity.A81004",2,83,83,83,83,83,-0.174533162606835,-0.360380783678392,0.837654587563225,0.658835241162141,0.242116547805348,0.416718693356793,0.632508201324704
"4","ratio_quantity.A81005",3,12,12,12,12,80,-0.033787195934643,-0.0535577131498798,0.543457531747468,0.63237098591334,0.321516926848214,0.310854059065126,0.491569135823264
"5","ratio_quantity.A81006",2,83,83,83,83,83,-0.103684683007014,-0.242600319308483,0.99045349273088,0.531073580526033,0.321705480422443,0.20936810010359,0.394235578234204
"6","ratio_quantity.A81007",2,83,83,83,83,83,-0.180260796587487,-0.369024764433694,0.95204805360745,0.668739657522786,0.29005961946283,0.378680038059956,0.566259281620446
"7","ratio_quantity.A81009",3,15,15,15,15,80,-0.0881582426880433,-0.110341239519539,0.541513306834191,0.800994000104622,0.149794913578484,0.651199086526137,0.812988719567289
"8","ratio_quantity.A81011",3,29,29,29,29,80,-0.0310086366555205,-0.0425952914620121,0.504713586347056,0.730240316655504,0.238735629730781,0.491504686924723,0.673072515601181
"9","ratio_quantity.A81012",3,78,78,78,78,78,-0.00852399753931492,-0.0130454354733167,0.527777777777778,0.661932429687861,0.355068518272524,0.306863911415337,0.463587970089396
"10","ratio_quantity.A81013",3,15,15,15,15,65,-0.0127586497105235,-0.0159703700969647,0.506641787814791,0.802539985592189,0.27370156293342,0.528838422658769,0.658955855350363
"11","ratio_quantity.A81014",3,80,80,80,80,80,-0.053093513811591,-0.0768941480845485,0.518457897594475,0.743568863811079,0.333942438537724,0.409626425273355,0.550892385641137
"12","ratio_quantity.A81016",3,18,18,61,61,18,-0.0194208551541961,-0.0298709600512276,0.551802301478525,0.669579240451825,0.35282141628286,0.316757824168965,0.473069959509528
"13","ratio_quantity.A81017",2,82,82,82,82,82,-0.101999173109679,-0.173070532235382,0.517971607898329,0.691349490533772,0.297508702527877,0.393840788005895,0.569669600395339
"14","ratio_quantity.A81018",2,81,81,81,81,81,-0.123996069349183,-0.209211471469286,0.569011760556781,0.716679006275928,0.280849457769402,0.435829548506526,0.608123783018597
"15","ratio_quantity.A81019",2,81,81,81,81,81,-0.106616466690968,-0.177535593358575,0.640256173093754,0.707152194057091,0.207587467445594,0.499564726611498,0.706445841234519
"16","ratio_quantity.A81020",2,68,68,68,68,68,-0.0197374982962673,-0.0298724485272695,0.511335471505929,0.6804633265875,0.255864421646434,0.424598904941065,0.623984994269147
"17","ratio_quantity.A81021",9,8,8,8,8,8,-0.0433906660600066,-0.0596944547174731,0.536814395128097,0.795904920099987,0.230095461231865,0.565809458868122,0.710900818149285
"18","ratio_quantity.A81022",10,10,10,10,10,82,-0.115484221575336,-0.143225180202679,0.594236885542628,0.852875854913099,0.269854717795964,0.583021137117135,0.683594375146827
"19","ratio_quantity.A81023",2,81,81,81,81,81,-0.0894758866509316,-0.149219442214721,0.616549439475604,0.689102083632551,0.253731223217689,0.435370860414862,0.631794433300559
"20","ratio_quantity.A81025",1,75,75,75,75,75,-0.00723557575471742,-0.0118703653115425,0.512820512820513,0.616785119076835,0.334597664642856,0.282187454433979,0.457513396004656
"21","ratio_quantity.A81026",12,15,15,43,43,80,-0.0398868477449965,-0.0530733110044636,0.505701073386289,0.757038873814272,0.28379272294607,0.473246150868202,0.625127938917845
"22","ratio_quantity.A81027",11,15,15,43,43,83,-0.17448181646388,-0.245892740667043,0.68197819160075,0.712446012021317,0.200752768416758,0.511693243604559,0.718220377362782
"23","ratio_quantity.A81029",2,83,83,83,83,83,-0.300342961327478,-1.12247356575402,1.04291468602813,0.567915375049064,0.279931165649046,0.287984209400018,0.507090003286384
"24","ratio_quantity.A81030",4,48,48,48,48,83,-0.0742752350897987,-0.106159656575117,0.60318774592625,0.715010484786712,0.222459131802959,0.492551352983754,0.688872909508008
"25","ratio_quantity.A81031",10,14,14,14,14,81,-0.0339932126437015,-0.04521229719773,0.521230793200513,0.75964813779584,0.303127741054099,0.456520396741741,0.600962964335515
"26","ratio_quantity.A81032",2,81,81,81,81,81,-0.0878670728868722,-0.166013797350423,0.638999555772482,0.617142797490665,0.204621041756499,0.412521755734166,0.668438094735127
"27","ratio_quantity.A81034",4,29,29,29,29,83,-0.159513217994644,-0.22271011005564,0.670016682140928,0.723258704641548,0.247111700405934,0.476147004235614,0.658335670459156
"28","ratio_quantity.A81035",10,4,4,4,4,83,-0.242675020793168,-0.320189865062499,0.652432751444408,0.762727448545746,0.390773373193283,0.371954075352463,0.487663156821809
"29","ratio_quantity.A81036",12,15,15,15,15,83,-0.108937348673534,-0.156980984256449,0.511039948296626,0.702058504086467,0.275722562887981,0.426335941198486,0.607265546556185
"30","ratio_quantity.A81037",4,60,60,60,60,83,-0.219656477310591,-0.323441959786615,0.567289667495143,0.688885715877849,0.301682334789525,0.387203381088325,0.562072013055039
"31","ratio_quantity.A81038",5,20,20,20,20,83,-0.052234224673258,-0.0604056140352956,0.518353979228338,0.883832820913452,0.178446950707293,0.705385870206159,0.798098750708459
"32","ratio_quantity.A81039",2,82,82,82,82,82,-0.260655295249632,-0.607309863901652,0.522518378929381,0.689851840115635,0.191007577864603,0.498844262251032,0.723117970037471
"33","ratio_quantity.A81040",2,82,82,82,82,82,-0.128582972239034,-0.213250644159881,0.557416498342883,0.731549367701041,0.270196061434389,0.461353306266651,0.630652320453089
"34","ratio_quantity.A81041",3,83,83,83,83,83,-0.463177009661009,-2.35900033591068,1.26188132542608,0.659521623356115,0.292468874156729,0.367052749199386,0.556543919411711
"35","ratio_quantity.A81042",3,56,56,56,56,82,-0.0714823193712069,-0.0938547950222684,0.507649401745473,0.769549386092821,0.206307754167905,0.563241631924916,0.731910962575935
"36","ratio_quantity.A81043",2,85,85,85,85,85,-0.0843916730543554,-0.152333976940423,0.597898743834785,0.638382809827215,0.497235711050779,0.141147098776436,0.221101033116225
"37","ratio_quantity.A81044",2,81,81,81,81,81,-0.0213989306443251,-0.0348722085104646,0.531342416653159,0.635037457091643,0.272577450582052,0.362460006509591,0.570769491566044
"38","ratio_quantity.A81045",3,29,29,29,29,83,-0.0773855600227324,-0.110710246244143,0.500113746998617,0.701003678813544,0.236795923155031,0.464207755658513,0.662204450116709
"39","ratio_quantity.A81046",2,83,83,83,83,83,-0.175876976767254,-0.449832498622078,0.715112891505334,0.566860236771809,0.320917283069733,0.245942953702076,0.433868770021139
"40","ratio_quantity.A81048",4,3,3,3,3,79,-0.0381787674889745,-0.0503521458298047,0.559805809682001,0.766671844547433,0.221071683510704,0.545600161036729,0.711647577665771
"41","ratio_quantity.A81049",4,10,10,10,10,84,-0.0340130383625608,-0.0397123047930774,0.504200507173582,0.895085018551827,0.287950870712385,0.607134147839442,0.678297742958243
"42","ratio_quantity.A81051",2,73,73,73,73,73,-0.0184588727395424,-0.0252340577337473,0.50538607441365,0.749965193851589,0.311673590483804,0.438291603367785,0.584415926180327
"43","ratio_quantity.A81052",3,15,15,15,15,81,-0.0678859929383972,-0.0904036737440925,0.636551148336441,0.752568303541137,0.325982046547901,0.426586256993236,0.566840584417356
"44","ratio_quantity.A81053",7,10,10,36,36,45,-0.0149257266339932,-0.0208600279059143,0.533277517446458,0.718187553023486,0.522266886916571,0.195920666106915,0.272798749131911
"45","ratio_quantity.A81054",3,25,25,25,25,86,-0.027027439020122,-0.0317690913249531,0.508420006913346,0.853898932658293,0.322302247779436,0.531596684878857,0.622552230184819
"46","ratio_quantity.A81056",10,15,15,24,24,87,-0.165871741626434,-0.259667232099182,0.536730767208645,0.657418135198566,0.348377268230799,0.309040866967767,0.470082661888274
"47","ratio_quantity.A81057",2,79,79,79,79,79,-0.157230208892332,-0.254332084806001,0.570921149981233,0.775438521116342,0.224643691050929,0.550794830065413,0.71030109424081
"48","ratio_quantity.A81058",3,56,56,56,56,85,-0.110129359908624,-0.164684834102109,0.591048966771715,0.674232614791546,0.30157530177687,0.372657313014677,0.55271326963305
"49","ratio_quantity.A81060",1,33,33,33,33,33,-0.00305847424408037,-0.0044062750784981,0.506172839506173,0.697176337880245,0.449439924109734,0.24773641377051,0.355342544360799
"50","ratio_quantity.A81063",3,84,84,84,84,84,-0.144832298274217,-0.20526196035237,0.652701868071038,0.850429662859382,0.406636545789726,0.443793117069657,0.52184576391362
"51","ratio_quantity.A81064",3,14,14,14,14,83,-0.0951172865138013,-0.126525514722825,0.506701222758207,0.753510616218589,0.190354565423797,0.563156050794792,0.747376398783775
"52","ratio_quantity.A81065",5,58,58,58,58,93,-0.0310071339296884,-0.038774602518448,0.503961193672187,0.805380260470848,0.190111975550924,0.615268284919924,0.763947560075809
"53","ratio_quantity.A81066",12,6,6,6,6,53,-0.156447767594964,-0.214113045543831,0.610238728083355,0.739427199265626,0.226684364715167,0.512742834550458,0.693432477273892
"54","ratio_quantity.A81067",2,81,81,81,81,81,-0.0867676334778494,-0.151651567528849,0.681079308942687,0.658918880522119,0.276727119568987,0.382191760953132,0.580028547141172
"55","ratio_quantity.A81070",2,82,82,82,82,82,-0.314954696463444,-0.953107443860385,0.638643026454274,0.645405054911783,0.152242703774775,0.493162351137008,0.764112935564808
"56","ratio_quantity.A81602",2,82,82,82,82,82,-0.0541792184431359,-0.0846095769582708,0.52157722382115,0.694523023375017,0.486771549695966,0.20775147367905,0.299128274638741
"57","ratio_quantity.A81608",2,84,84,84,84,84,-0.42607610650067,-1.41415462464668,0.718343820334115,0.30705457195595,0.139993945822804,0.167060626133146,0.544074706554484
"58","ratio_quantity.A81610",3,54,54,54,54,83,-0.253662584253701,-0.370019941699758,0.594473161073185,0.690698917985376,0.263997426877229,0.426701491108146,0.617782191338515
"59","ratio_quantity.A81611",10,15,15,15,15,80,-0.0582594020030004,-0.0731577902790137,0.508924269905223,0.800899408246965,0.228521498132264,0.572377910114701,0.714668913749782
"60","ratio_quantity.A81612",2,91,91,91,91,91,-0.378982169306717,-1.08206822676137,0.895603796010464,0.729220869541923,0.306062581250916,0.423158288291008,0.580288230857716
"61","ratio_quantity.A81618",3,15,15,15,15,86,-0.0135298528420148,-0.0182949217183928,0.500493329357586,0.742355546775469,0.255760947265298,0.486594599510171,0.655473784258455
"62","ratio_quantity.A81621",1,63,63,63,63,63,-0.00428831095182308,-0.00580264996941108,0.509803921568628,0.743314613491025,0.524610754948048,0.218703858542977,0.294227847231229
"63","ratio_quantity.A81622",3,57,57,57,57,85,-0.0222484081671682,-0.0290677266375786,0.507695078081458,0.770287218774902,0.28824100559577,0.482046213179132,0.625800612329773
"64","ratio_quantity.A81629",2,82,82,82,82,82,-0.0584847278782281,-0.109383646788091,0.639389109228909,0.593159970435559,0.410220577086306,0.182939393349254,0.308414934364031
"65","ratio_quantity.A81630",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ratio_quantity.A81631",4,10,10,10,10,83,-0.383396034086881,-0.502376964764662,0.791139092137719,0.771706237055406,0.287093559086333,0.484612677969073,0.627975587988256
"67","ratio_quantity.A81633",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ratio_quantity.A81634",1,67,67,67,67,67,-0.0113213027868983,-0.0144443238173544,0.51063829787234,0.795110348923902,0.263009117939685,0.532101230984218,0.669216834750498
"69","ratio_quantity.A82003",3,15,15,15,15,86,-0.19496364692374,-0.238697878833959,0.665692882509208,0.819292639696524,0.233546112893174,0.585746526803351,0.714941766131719
"70","ratio_quantity.A82004",2,80,80,80,80,80,-0.105968247797422,-0.17086912041168,0.743405855885019,0.726140269179108,0.298507448055036,0.427632821124072,0.588912141737444
"71","ratio_quantity.A82005",2,80,80,80,80,80,-0.041734490513291,-0.0752997416088045,0.579598894827051,0.595979294301717,0.163944407219218,0.432034887082499,0.724915934518657
"72","ratio_quantity.A82006",4,7,7,7,7,86,-0.164825626150614,-0.21984639774521,0.534072881949024,0.761901710536678,0.144661510850427,0.617240199686251,0.81013100659857
"73","ratio_quantity.A82007",10,15,15,15,15,86,-0.0768818848634979,-0.0890035573742805,0.503273588714823,0.872147633464205,0.261093236114834,0.611054397349371,0.700631835601318
"74","ratio_quantity.A82008",3,57,57,57,57,87,-0.167162570057326,-0.259803502099974,0.613404832988637,0.647443221114842,0.102411421339563,0.545031799775279,0.841821772165258
"75","ratio_quantity.A82009",4,7,7,7,7,83,-0.0723418316654114,-0.085730182462979,0.501458275032678,0.853903893829524,0.132589327221792,0.721314566607732,0.844725702529397
"76","ratio_quantity.A82010",4,35,35,35,35,86,-0.125309202851828,-0.15237540153842,0.541123061474469,0.840219738526904,0.145502334446685,0.694717404080219,0.82682823578772
"77","ratio_quantity.A82012",3,15,15,15,15,85,-0.0487827278738938,-0.0632427094453325,0.502289151310906,0.773662652445718,0.190937808639188,0.58272484380653,0.753202758288006
"78","ratio_quantity.A82013",3,43,43,43,43,84,-0.11897167437181,-0.151635759666474,0.538571086518791,0.787956960037027,0.125249599672672,0.662707360364354,0.841045125527178
"79","ratio_quantity.A82014",3,29,29,29,29,83,-0.0960425145916737,-0.11794710127901,0.665712415026051,0.818661070130562,0.241579961688772,0.577081108441791,0.704908452956919
"80","ratio_quantity.A82015",3,15,15,15,15,80,-0.0432097286253997,-0.048489613314987,0.540005644511654,0.892983460620849,0.172828844495896,0.720154616124953,0.806459075540171
"81","ratio_quantity.A82016",3,15,15,15,15,83,-0.118440898892709,-0.143805021366879,0.547724644438374,0.825234064334477,0.176509015560253,0.648725048774224,0.786110361667388
"82","ratio_quantity.A82018",2,82,82,82,82,82,-0.144349385239764,-0.253306310534234,0.566451088321592,0.714210376603638,0.204548066067792,0.509662310535846,0.713602500371808
"83","ratio_quantity.A82019",3,43,43,43,43,84,-0.380143660774239,-0.459540382970708,0.526250541212005,0.830724820995425,0.10836231301827,0.722362507977155,0.869556909484871
"84","ratio_quantity.A82020",5,8,8,8,8,76,-0.0324084812246555,-0.0357687495156579,0.500355207391381,0.918062545139012,0.205582114826714,0.712480430312298,0.7760695979645
